Store_ID,Store_Name,Brand_Name,Store_Type,City,City_Tier,Product_Name,Category,Sub_Category,Product_Stage,Quantity_Available,Units_Sold,Unit_Price,Cost_Price,Revenue,Profit_Margin,Average_Order_Value,Inventory_Turnover,Days_of_Stock,Customer_Segment,Sales_Channel,Payment_Method,Supplier,Supplier_Rating,Promotion_Type,Promotion_Impact,Max_Discount_Offered,Return_Rate,Return_Reason,Customer_Satisfaction,Online_Rating,Review_Count,Sales_Rep_Experience,Sales_Rep_Rating,Market_Share,Competition_Level,Competitor_Count,Brand_Loyalty,Brand_Awareness,Price_Competitiveness,Weather_Impact,Delivery_Time,Shipping_Cost,Month,Year,Quarter,Season
BX_MUMBAI_094,BrandX_India Trends Mumbai,BrandX_India,Mall Store,Mumbai,Metro,Nike Air Max,Clothes,Shoes,New Launch,119,42,7594,6307,318948,16.95,11376,4.24,85,Luxury,BrandX_India Store,Wallet,BrandX_India Brand Partners,NaN,Flash Sale,38.5,10,0.8,Poor Quality,4.4,4.6,383,8,4.5,12.6,Very High,20,78.8,81.5,Aggressive,Medium,3,52,1,2022,Q1,Spring
BX_DELHI_088,BrandX_India Superstore Delhi,BrandX_India,Street Store,Delhi,Metro,Olive Oil 500ml,Groceries,Oil,Discontinued,249,68,377,296,25636,21.49,537,3.28,110,Mid-Range,BrandX_India Phone Order,Credit,BrandX_India E-commerce Hub,NaN,Clearance,18.2,47,7.3,Changed Mind,4.2,5,121,8,4.8,13.4,High,15,81.6,85.9,Competitive,Low,4,73,1,2022,Q1,Spring
BX_DELHI_082,BrandX_India Gadget Zone Delhi,BrandX_India,Street Store,Delhi,Metro,Samsung Galaxy S23,Electronics,Smartphones,New Launch,221,48,81117,68466,3893616,15.6,84012,2.61,138,Mid-Range,BrandX_India App,Credit,BrandX_India Direct Import,NaN,Discount,31.6,26,1,Damaged,4.6,4.1,300,6,4,20.3,High,21,78.4,87.2,Competitive,Low,1,146,1,2022,Q1,Spring
BX_DELHI_005,BrandX_India Electronics Delhi,BrandX_India,Express,Delhi,Metro,AirPods Pro,Electronics,Headphones,Growing,211,14,26813,18877,375382,29.6,30142,0.8,452,Budget,BrandX_India App,Card,BrandX_India Local Sourcing,NaN,Clearance,38.5,42,7.8,Damaged,4.3,4,37,10,3.6,24.7,High,25,75.2,87.7,Competitive,Low,4,244,1,2022,Q1,Spring
BX_NAGPUR_094,BrandX_India Fashion Nagpur,BrandX_India,Street Store,Nagpur,Tier2,Levi's 511 Jeans,Clothes,Jeans,Discontinued,105,29,4093,2960,118697,27.68,5647,3.31,109,Luxury,BrandX_India Social Commerce,Cash,BrandX_India Direct Import,NaN,Festival Offer,24.2,42,1.2,Wrong Size,4.3,4.9,420,10,3.9,10.8,Low,5,72.2,68.3,Standard,Medium,2,97,1,2022,Q1,Spring
BX_BANGALORE_060,BrandX_India Appliances Bangalore,BrandX_India,Express,Bangalore,Metro,Daikin 1.5 Ton Split,Home Appliances,Air Conditioners,Discontinued,206,14,38881,31575,544334,18.79,47303,0.82,441,Mid-Range,BrandX_India App,Wallet,BrandX_India Local Sourcing,NaN,Flash Sale,38.6,26,6.2,Wrong Size,4.2,4,93,6,3.9,17,High,22,81.9,84.7,Competitive,Low,3,355,1,2022,Q1,Spring
BX_DELHI_086,BrandX_India Style Delhi,BrandX_India,Express,Delhi,Metro,Zara Casual Shirt,Clothes,T-Shirts,Growing,153,55,2620,2159,144100,17.6,3903,4.31,83,Mid-Range,BrandX_India Phone Order,Credit,BrandX_India Local Sourcing,NaN,Discount,38.2,31,1.8,Changed Mind,4.5,5,71,6,4.3,16,High,22,80.5,86.5,Competitive,Medium,3,140,1,2022,Q1,Spring
BX_BANGALORE_001,BrandX_India Daily Bangalore,BrandX_India,Mall Store,Bangalore,Metro,Sunflower Oil 1L,Groceries,Oil,Discontinued,57,31,173,137,5363,20.81,193,6.53,55,Mid-Range,BrandX_India Social Commerce,EMI,BrandX_India Brand Partners,NaN,Discount,23.9,25,5.9,Defective,4.4,4.1,87,8,4.7,19.3,Very High,19,82.7,81.6,Aggressive,Low,4,82,1,2022,Q1,Spring
BX_HYDERABAD_041,BrandX_India Comfort Hyderabad,BrandX_India,Express,Hyderabad,Metro,Samsung Side by Side,Home Appliances,Refrigerators,New Launch,98,64,76481,60793,4894784,20.51,107897,7.84,46,Luxury,BrandX_India Store,Wallet,BrandX_India Local Sourcing,NaN,No Promotion,0,0,6.3,Defective,4.5,4.3,272,9,4.1,15.9,Very High,19,78.3,87.1,Aggressive,Low,4,533,1,2022,Q1,Spring
BX_MUMBAI_038,BrandX_India Style Mumbai,BrandX_India,Mall Store,Mumbai,Metro,Pepe Jeans,Clothes,Jeans,New Launch,189,33,3537,2589,116721,26.8,4571,2.1,172,Premium,BrandX_India Phone Order,Card,BrandX_India Wholesale,NaN,Flash Sale,29.1,19,1.6,Poor Quality,3.9,4.2,235,4,4.8,11.3,High,20,97,83.3,Competitive,Medium,1,73,1,2022,Q1,Spring
BX_DELHI_065,BrandX_India Digital Delhi,BrandX_India,Online Hub,Delhi,Metro,Samsung Tab S8,Electronics,Tablets,Growing,201,47,48173,39323,2264131,18.37,56608,2.81,128,Mid-Range,BrandX_India Online,Credit,BrandX_India Direct Import,NaN,Festival Offer,26,8,6.8,Wrong Size,4.6,4.4,344,3,4.6,24.9,Very High,16,85,84.4,Aggressive,Low,2,114,1,2022,Q1,Spring
BX_MUMBAI_088,BrandX_India Express Mumbai,BrandX_India,Flagship,Mumbai,Metro,Basmati Rice 5kg,Groceries,Rice,Growing,142,88,659,529,57992,19.73,853,7.44,48,Luxury,BrandX_India Store,Credit,BrandX_India Brand Partners,NaN,No Promotion,0,0,7.6,Poor Quality,4.3,3.9,341,3,4.5,19.5,Very High,20,80.1,86.3,Aggressive,Low,6,143,1,2022,Q1,Spring
BX_MUMBAI_022,BrandX_India Trends Mumbai,BrandX_India,Online Hub,Mumbai,Metro,Adidas Ultraboost,Clothes,Shoes,Mature,90,53,10474,7560,555122,27.82,15441,7.07,51,Luxury,BrandX_India App,Credit,BrandX_India Brand Partners,NaN,Festival Offer,11,46,0.9,Wrong Size,4.4,4.8,193,3,4.7,12.1,High,15,79.2,86.7,Competitive,Medium,2,57,1,2022,Q1,Spring
BX_PUNE_051,BrandX_India Fashion Pune,BrandX_India,Flagship,Pune,Tier1,Nike Air Max,Clothes,Shoes,Discontinued,135,16,9414,7550,150624,19.8,13856,1.42,253,Premium,BrandX_India Phone Order,Wallet,BrandX_India Wholesale,NaN,Flash Sale,28.6,43,4,Defective,4.6,4.9,242,8,3.9,13.6,High,10,84.4,78.5,Competitive,Medium,3,121,1,2022,Q1,Spring
BX_DELHI_061,BrandX_India Home Delhi,BrandX_India,Flagship,Delhi,Metro,IFB 7kg Front Load,Home Appliances,Washing Machines,Declining,213,33,37950,31406,1252350,17.24,52787,1.86,194,Luxury,BrandX_India Social Commerce,Wallet,BrandX_India Direct Import,NaN,Discount,25.2,45,3.8,Defective,3.8,4.9,347,3,4.5,18.1,Very High,21,80.7,89.6,Aggressive,Low,7,665,1,2022,Q1,Spring
BX_CHENNAI_078,BrandX_India Mobile Chennai,BrandX_India,Mall Store,Chennai,Metro,JBL Charge 5,Gadgets,Bluetooth Speakers,Declining,80,60,8851,6873,531060,22.35,10886,9,40,Premium,BrandX_India Online,EMI,BrandX_India Wholesale,NaN,Festival Offer,11.3,12,2.3,Defective,4.4,4.3,477,8,4.2,15.6,High,17,95,84.2,Competitive,Low,7,126,1,2022,Q1,Spring
BX_MUMBAI_019,BrandX_India Mobile Mumbai,BrandX_India,Flagship,Mumbai,Metro,Sony Alpha a7 IV,Gadgets,Cameras,Mature,72,48,292889,242418,14058672,17.23,326761,8,45,Premium,BrandX_India Store,Wallet,BrandX_India E-commerce Hub,NaN,Discount,39.3,41,5.3,Defective,4.6,4.3,300,5,4.1,15.5,Very High,19,90.9,86.4,Aggressive,Low,4,131,1,2022,Q1,Spring
BX_HYDERABAD_044,BrandX_India Fashion Hyderabad,BrandX_India,Flagship,Hyderabad,Metro,Forever 21 Dress,Clothes,Dresses,Discontinued,216,46,1705,1254,78430,26.45,1761,2.56,141,Budget,BrandX_India Phone Order,Credit,BrandX_India E-commerce Hub,NaN,Clearance,16.9,13,0.9,Poor Quality,4.4,3.8,247,1,4.2,13.1,Very High,17,84.2,87.3,Aggressive,Medium,1,141,1,2022,Q1,Spring
BX_BHOPAL_055,BrandX_India Gadget Zone Bhopal,BrandX_India,Street Store,Bhopal,Tier2,OnePlus 11,Electronics,Smartphones,Declining,188,43,53825,43655,2314475,18.89,69803,2.74,131,Luxury,BrandX_India Online,Card,BrandX_India Direct Import,NaN,Flash Sale,25.5,47,0.9,Wrong Size,4.5,4,135,4,4.1,7,Medium,6,69.2,69.7,Standard,Low,5,209,1,2022,Q1,Spring
BX_VISAKHAPATNAM_032,BrandX_India Superstore Visakhapatnam,BrandX_India,Street Store,Visakhapatnam,Tier2,Green Tea 100g,Groceries,Tea,Discontinued,133,81,242,190,19602,21.49,358,7.31,49,Premium,BrandX_India Store,UPI,BrandX_India Local Sourcing,NaN,No Promotion,0,0,1.6,Poor Quality,4.1,4.8,78,8,4.5,12.9,Low,8,87.4,62.9,Standard,Low,5,84,1,2022,Q1,Spring
BX_MUMBAI_020,BrandX_India Tech Hub Mumbai,BrandX_India,Flagship,Mumbai,Metro,Sony Bravia 43Inch,Electronics,Smart TVs,Growing,99,53,74001,62262,3922053,15.86,82001,6.42,56,Budget,BrandX_India Online,Card,BrandX_India Brand Partners,NaN,No Promotion,0,0,1.3,Poor Quality,4.3,4.4,402,9,4.8,26.3,High,16,78.8,89.3,Competitive,Low,4,209,1,2022,Q1,Spring
BX_SURAT_062,BrandX_India Electronics Surat,BrandX_India,Mall Store,Surat,Tier2,LG OLED 55Inch,Electronics,Smart TVs,New Launch,209,43,73554,56180,3162822,23.62,84803,2.47,146,Mid-Range,BrandX_India Phone Order,UPI,BrandX_India Local Sourcing,NaN,No Promotion,0,0,6.9,Defective,4,4.9,254,3,4.8,8,Low,5,69.5,67.5,Standard,Low,5,133,1,2022,Q1,Spring
BX_JAIPUR_050,BrandX_India Mobile Jaipur,BrandX_India,Online Hub,Jaipur,Tier2,Anker PowerCore,Gadgets,Power Banks,Declining,95,26,3053,2522,79378,17.39,4105,3.28,110,Mid-Range,BrandX_India Social Commerce,Wallet,BrandX_India Local Sourcing,NaN,Festival Offer,38.1,21,1.9,Defective,4,3.8,127,4,4,4.1,Medium,8,70.7,62.7,Standard,Low,5,129,1,2022,Q1,Spring
BX_MUMBAI_042,BrandX_India Trends Mumbai,BrandX_India,Mall Store,Mumbai,Metro,Nike Jacket,Clothes,Jackets,Declining,159,23,7908,5659,181884,28.44,10623,1.74,207,Luxury,BrandX_India Store,Card,BrandX_India Direct Import,NaN,Flash Sale,38.5,26,0.6,Wrong Size,4.2,4,92,4,4.5,16.1,Very High,18,75.4,87.5,Aggressive,Medium,5,59,1,2022,Q1,Spring
BX_MUMBAI_064,BrandX_India Digital Mumbai,BrandX_India,Express,Mumbai,Metro,OnePlus 11,Electronics,Smartphones,New Launch,135,59,54831,44805,3235029,18.29,76786,5.24,69,Premium,BrandX_India Online,Card,BrandX_India Brand Partners,NaN,No Promotion,0,0,1.1,Damaged,4.8,4,15,6,4.3,26.2,Very High,20,92.6,89.4,Aggressive,Low,6,154,1,2022,Q1,Spring
BX_AHMEDABAD_027,BrandX_India Daily Ahmedabad,BrandX_India,Flagship,Ahmedabad,Tier1,Moong Dal 1kg,Groceries,Dal,Growing,273,97,167,140,16199,16.17,193,4.26,84,Premium,BrandX_India Phone Order,Wallet,BrandX_India E-commerce Hub,NaN,No Promotion,0,0,5.3,Poor Quality,4.3,4.8,475,8,4.6,17.6,Medium,12,88.6,80.1,Standard,Low,7,117,1,2022,Q1,Spring
BX_BANGALORE_034,BrandX_India Electronics Bangalore,BrandX_India,Flagship,Bangalore,Metro,Samsung Tab S8,Electronics,Tablets,Growing,66,14,51278,38443,717892,25.03,63235,2.55,141,Mid-Range,BrandX_India Store,Cash,BrandX_India Direct Import,NaN,No Promotion,0,0,2.7,Wrong Size,4.7,4.7,345,7,4.2,25.5,High,23,84.3,81.9,Competitive,Low,6,145,1,2022,Q1,Spring
BX_MUMBAI_092,BrandX_India Accessories Mumbai,BrandX_India,Flagship,Mumbai,Metro,Canon EOS R6,Gadgets,Cameras,New Launch,19,8,207099,158076,1656792,23.67,208288,5.05,71,Mid-Range,BrandX_India Social Commerce,Wallet,BrandX_India Wholesale,NaN,Discount,24.1,12,3.9,Wrong Size,4,4.3,175,10,4.2,16.9,Very High,25,84.1,87.4,Aggressive,Low,3,123,1,2022,Q1,Spring
BX_DELHI_027,BrandX_India Fashion Delhi,BrandX_India,Mall Store,Delhi,Metro,H&M Cotton Tee,Clothes,T-Shirts,New Launch,56,12,1015,829,12180,18.33,1386,2.57,140,Mid-Range,BrandX_India Online,Credit,BrandX_India Local Sourcing,NaN,BOGO,18.5,33,7.6,Changed Mind,4.6,5,288,4,4,14.5,Very High,24,78.6,88.2,Aggressive,Medium,6,113,1,2022,Q1,Spring
BX_MUMBAI_068,BrandX_India Electronics Mumbai,BrandX_India,Flagship,Mumbai,Metro,Samsung Galaxy S23,Electronics,Smartphones,Declining,231,35,66044,54736,2311540,17.12,72241,1.82,198,Budget,BrandX_India Store,Credit,BrandX_India Direct Import,NaN,No Promotion,0,0,2.5,Damaged,4.2,4.2,244,3,4.2,22.6,High,19,79.2,87.6,Competitive,Low,2,277,1,2022,Q1,Spring
BX_MUMBAI_097,BrandX_India Connect Mumbai,BrandX_India,Flagship,Mumbai,Metro,Mi Power Bank,Gadgets,Power Banks,Declining,208,46,2985,2397,137310,19.7,3679,2.65,136,Budget,BrandX_India Social Commerce,Credit,BrandX_India E-commerce Hub,NaN,No Promotion,0,0,2.3,Wrong Size,4.3,4.6,98,4,4,12.8,Very High,24,75.4,89.4,Aggressive,Low,3,50,1,2022,Q1,Spring
BX_BANGALORE_078,BrandX_India Fashion Bangalore,BrandX_India,Street Store,Bangalore,Metro,Nike Air Max,Clothes,Shoes,Discontinued,112,31,11466,9163,355446,20.09,12447,3.32,108,Mid-Range,BrandX_India Store,EMI,BrandX_India Brand Partners,NaN,Discount,39.5,38,3.7,Poor Quality,4.5,3.9,169,5,4.2,13.8,High,19,78.7,88.2,Competitive,Medium,7,62,1,2022,Q1,Spring
BX_BANGALORE_036,BrandX_India Style Bangalore,BrandX_India,Online Hub,Bangalore,Metro,Nike Air Max,Clothes,Shoes,Mature,71,38,11927,8860,453226,25.71,15250,6.42,56,Mid-Range,BrandX_India Social Commerce,Card,BrandX_India Wholesale,NaN,Flash Sale,24.8,17,4.7,Wrong Size,4.1,4.2,33,2,4,11.5,Very High,19,76.4,88.1,Aggressive,Medium,7,90,1,2022,Q1,Spring
BX_BANGALORE_049,BrandX_India Fashion Bangalore,BrandX_India,Express,Bangalore,Metro,H&M Cotton Tee,Clothes,T-Shirts,New Launch,87,46,1269,888,58374,30.02,1793,6.34,57,Premium,BrandX_India Phone Order,Wallet,BrandX_India Local Sourcing,NaN,BOGO,10.1,46,6.1,Defective,3.8,3.9,422,5,4.3,13.3,High,15,95.1,83.5,Competitive,Medium,2,115,1,2022,Q1,Spring
BX_DELHI_050,BrandX_India Fashion Delhi,BrandX_India,Street Store,Delhi,Metro,H&M Cotton Tee,Clothes,T-Shirts,Discontinued,41,21,1059,768,22239,27.48,1123,6.15,59,Budget,BrandX_India App,Card,BrandX_India Brand Partners,NaN,Clearance,36.2,22,5.9,Damaged,4,4.5,321,10,3.9,16.7,Very High,18,76.9,81.5,Aggressive,Medium,7,142,1,2022,Q1,Spring
BX_MUMBAI_004,BrandX_India Daily Mumbai,BrandX_India,Street Store,Mumbai,Metro,Tata Tea Premium,Groceries,Tea,Declining,173,60,342,265,20520,22.51,441,4.16,87,Budget,BrandX_India Store,UPI,BrandX_India E-commerce Hub,NaN,Clearance,30.7,31,3,Changed Mind,4.2,4.6,329,7,3.8,12.4,Very High,25,77.4,87.9,Aggressive,Low,6,120,1,2022,Q1,Spring
BX_SURAT_074,BrandX_India Connect Surat,BrandX_India,Flagship,Surat,Tier2,Apple Watch Series 8,Gadgets,Smart Watches,Discontinued,199,25,43043,34316,1076075,20.28,59268,1.51,239,Mid-Range,BrandX_India Phone Order,Cash,BrandX_India Wholesale,NaN,Clearance,19,44,2.1,Damaged,4.2,4.9,447,2,4.1,10.1,Low,3,71.8,65.4,Standard,Low,5,129,1,2022,Q1,Spring
BX_SURAT_026,BrandX_India Tech Hub Surat,BrandX_India,Mall Store,Surat,Tier2,iPhone 14,Electronics,Smartphones,New Launch,163,37,75294,63412,2785878,15.78,112751,2.72,132,Premium,BrandX_India Phone Order,EMI,BrandX_India Local Sourcing,NaN,Festival Offer,24.4,26,3,Defective,3.9,4,439,2,4.4,10.1,Medium,8,84.8,69.9,Standard,Low,5,163,1,2022,Q1,Spring
BX_CHENNAI_064,BrandX_India Appliances Chennai,BrandX_India,Street Store,Chennai,Metro,Aquaguard Crystal,Home Appliances,Water Purifiers,Growing,121,40,19071,13491,762840,29.26,19245,3.97,91,Luxury,BrandX_India Social Commerce,Cash,BrandX_India Brand Partners,NaN,Festival Offer,19,22,7,Changed Mind,4.5,4.9,377,5,4.8,11.3,High,16,78.3,86.2,Competitive,Low,6,658,1,2022,Q1,Spring
BX_JAIPUR_056,BrandX_India Digital Jaipur,BrandX_India,Street Store,Jaipur,Tier2,OnePlus 11,Electronics,Smartphones,Growing,84,37,53870,43625,1993190,19.02,62546,5.29,68,Budget,BrandX_India Phone Order,EMI,BrandX_India Brand Partners,NaN,Clearance,25.3,14,0.4,Changed Mind,4,4,481,6,4.6,4,Medium,5,75.4,69.6,Standard,Low,6,195,1,2022,Q1,Spring
BX_KANPUR_045,BrandX_India Tech Hub Kanpur,BrandX_India,Flagship,Kanpur,Tier2,iPad Pro,Electronics,Tablets,Mature,86,46,61974,50927,2850804,17.83,68132,6.42,56,Mid-Range,BrandX_India Social Commerce,EMI,BrandX_India E-commerce Hub,NaN,Festival Offer,25.3,12,1.9,Damaged,4.3,3.9,242,6,4.4,8.6,Medium,8,74.7,67.6,Standard,Low,1,276,1,2022,Q1,Spring
BX_DELHI_075,BrandX_India Style Delhi,BrandX_India,Online Hub,Delhi,Metro,Adidas Ultraboost,Clothes,Shoes,New Launch,188,49,14479,12017,709471,17,19570,3.13,115,Budget,BrandX_India Social Commerce,UPI,BrandX_India Wholesale,NaN,Festival Offer,31.3,14,5.5,Defective,3.9,3.9,344,3,4.4,16.3,High,23,76.1,84.4,Competitive,Medium,4,65,1,2022,Q1,Spring
BX_MUMBAI_063,BrandX_India Express Mumbai,BrandX_India,Online Hub,Mumbai,Metro,Brown Sugar 500g,Groceries,Sugar,Declining,248,113,114,97,12882,14.91,164,5.47,66,Budget,BrandX_India Store,EMI,BrandX_India Direct Import,NaN,BOGO,39.1,11,0.5,Changed Mind,4,4.2,83,2,4.7,20,Very High,15,79.5,89.6,Aggressive,Low,1,123,1,2022,Q1,Spring
BX_DELHI_064,BrandX_India Comfort Delhi,BrandX_India,Mall Store,Delhi,Metro,Bosch 6kg Top Load,Home Appliances,Washing Machines,New Launch,72,53,22052,16872,1168756,23.49,32764,8.83,41,Budget,BrandX_India Online,UPI,BrandX_India Direct Import,NaN,BOGO,32.7,14,6.4,Damaged,3.9,4.1,365,10,4.4,15.4,High,25,84.9,89,Competitive,Low,2,631,1,2022,Q1,Spring
BX_MUMBAI_012,BrandX_India Digital Mumbai,BrandX_India,Online Hub,Mumbai,Metro,iPhone 14,Electronics,Smartphones,Growing,211,56,92403,77249,5174568,16.4,134900,3.18,113,Mid-Range,BrandX_India Social Commerce,Credit,BrandX_India Local Sourcing,NaN,BOGO,25.1,31,5.4,Wrong Size,4.8,4.5,243,1,3.8,20.6,Very High,24,77.2,87.8,Aggressive,Low,1,243,1,2022,Q1,Spring
BX_MUMBAI_027,BrandX_India Style Mumbai,BrandX_India,Mall Store,Mumbai,Metro,Zara Evening Dress,Clothes,Dresses,Growing,225,64,3974,3116,254336,21.59,4205,3.41,105,Budget,BrandX_India Social Commerce,Cash,BrandX_India Brand Partners,NaN,Flash Sale,21.7,43,1.4,Wrong Size,4.3,4.8,381,8,3.8,10,High,16,78,82.5,Competitive,Medium,1,85,1,2022,Q1,Spring
BX_MUMBAI_066,BrandX_India Apparel Mumbai,BrandX_India,Street Store,Mumbai,Metro,Levi's 511 Jeans,Clothes,Jeans,Growing,198,8,4370,3216,34960,26.41,4392,0.48,743,Mid-Range,BrandX_India Online,Card,BrandX_India Wholesale,NaN,BOGO,28.7,34,3.6,Defective,4.2,4.4,298,9,3.6,19.2,Very High,17,75.4,84.9,Aggressive,Medium,5,133,1,2022,Q1,Spring
BX_MUMBAI_098,BrandX_India Style Mumbai,BrandX_India,Express,Mumbai,Metro,H&M Cotton Tee,Clothes,T-Shirts,Mature,106,9,1103,916,9927,16.95,1299,1.02,353,Luxury,BrandX_India App,EMI,BrandX_India Local Sourcing,NaN,Clearance,28.9,46,6.7,Defective,4.3,4,382,10,4.4,11.4,Very High,15,79.5,86.3,Aggressive,Medium,6,108,1,2022,Q1,Spring
BX_SURAT_074,BrandX_India Gadget Zone Surat,BrandX_India,Street Store,Surat,Tier2,HP Pavilion,Electronics,Laptops,Discontinued,114,11,60063,48715,660693,18.89,86073,1.16,311,Premium,BrandX_India Social Commerce,Card,BrandX_India E-commerce Hub,NaN,No Promotion,0,0,6.1,Damaged,4.2,4.8,311,8,4.6,10,Low,5,88.9,64.5,Standard,Low,4,198,1,2022,Q1,Spring
BX_MUMBAI_061,BrandX_India Daily Mumbai,BrandX_India,Online Hub,Mumbai,Metro,Brown Sugar 500g,Groceries,Sugar,Mature,278,105,105,82,11025,21.9,126,4.53,79,Premium,BrandX_India Online,Credit,BrandX_India Direct Import,NaN,No Promotion,0,0,3.3,Defective,4,4.5,406,4,4.3,19,Very High,17,96.8,80.4,Aggressive,Low,1,149,1,2022,Q1,Spring
BX_VISAKHAPATNAM_008,BrandX_India Mobile Visakhapatnam,BrandX_India,Mall Store,Visakhapatnam,Tier2,Apple Watch Series 8,Gadgets,Smart Watches,Declining,196,29,34275,24708,993975,27.91,44017,1.78,203,Budget,BrandX_India App,Cash,BrandX_India E-commerce Hub,NaN,Festival Offer,30.3,31,4.7,Poor Quality,4.1,4.2,133,3,4.7,6.1,Medium,6,75,62.8,Standard,Low,5,145,1,2022,Q1,Spring
